DEBUG:processor.ControlUnit: Tick=1 | STAGE=FETCH | OP=load | PC=0 | R1=0 | R2=0 | R3=0 |  data={}
DEBUG:processor.ControlUnit: Tick=15 | STAGE=WRITEBACK | OP=load | PC=2 | R1=0 | R2=0 | R3=0 |  data={0: 0}
DEBUG:processor.ControlUnit: Tick=16 | STAGE=FETCH | OP=store | PC=3 | R1=1 | R2=0 | R3=0 |  data={0: 0}
DEBUG:processor.ControlUnit: Tick=17 | STAGE=DECODE | OP=store | PC=3 | R1=1 | R2=0 | R3=0 |  data={0: 0}
DEBUG:processor.ControlUnit: Tick=18 | STAGE=EXECUTE | OP=store | PC=3 | R1=1 | R2=0 | R3=0 |  data={0: 0}
DEBUG:processor.ControlUnit: Tick=19 | STAGE=MEMORY | OP=store | PC=3 | R1=1 | R2=0 | R3=0 |  data={0: 0}
DEBUG:processor.ControlUnit: Tick=20 | STAGE=WRITEBACK | OP=store | PC=3 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1}
DEBUG:processor.ControlUnit: Tick=21 | STAGE=FETCH | OP=load | PC=4 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1}
DEBUG:processor.ControlUnit: Tick=22 | STAGE=DECODE | OP=load | PC=4 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1}
DEBUG:processor.ControlUnit: Tick=23 | STAGE=EXECUTE | OP=load | PC=4 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1}
DEBUG:processor.ControlUnit: Tick=24 | STAGE=MEMORY | OP=load | PC=4 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1}
DEBUG:processor.ControlUnit: Tick=25 | STAGE=WRITEBACK | OP=load | PC=4 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1}
DEBUG:processor.ControlUnit: Tick=26 | STAGE=FETCH | OP=store | PC=5 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1}
DEBUG:processor.ControlUnit: Tick=27 | STAGE=DECODE | OP=store | PC=5 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1}
DEBUG:processor.ControlUnit: Tick=28 | STAGE=EXECUTE | OP=store | PC=5 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1}
DEBUG:processor.ControlUnit: Tick=29 | STAGE=MEMORY | OP=store | PC=5 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1}
DEBUG:processor.ControlUnit: Tick=30 | STAGE=WRITEBACK | OP=store | PC=5 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2}
DEBUG:processor.ControlUnit: Tick=31 | STAGE=FETCH | OP=load | PC=6 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2}
DEBUG:processor.ControlUnit: Tick=32 | STAGE=DECODE | OP=load | PC=6 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2}
DEBUG:processor.ControlUnit: Tick=33 | STAGE=EXECUTE | OP=load | PC=6 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2}
DEBUG:processor.ControlUnit: Tick=34 | STAGE=MEMORY | OP=load | PC=6 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2}
DEBUG:processor.ControlUnit: Tick=35 | STAGE=WRITEBACK | OP=load | PC=6 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2}
DEBUG:processor.ControlUnit: Tick=36 | STAGE=FETCH | OP=store | PC=7 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2}
DEBUG:processor.ControlUnit: Tick=37 | STAGE=DECODE | OP=store | PC=7 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2}
DEBUG:processor.ControlUnit: Tick=38 | STAGE=EXECUTE | OP=store | PC=7 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2}
DEBUG:processor.ControlUnit: Tick=39 | STAGE=MEMORY | OP=store | PC=7 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2}
DEBUG:processor.ControlUnit: Tick=40 | STAGE=WRITEBACK | OP=store | PC=7 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000}
DEBUG:processor.ControlUnit: Tick=41 | STAGE=FETCH | OP=load | PC=8 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000}
DEBUG:processor.ControlUnit: Tick=42 | STAGE=DECODE | OP=load | PC=8 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000}
DEBUG:processor.ControlUnit: Tick=43 | STAGE=EXECUTE | OP=load | PC=8 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000}
DEBUG:processor.ControlUnit: Tick=44 | STAGE=MEMORY | OP=load | PC=8 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000}
DEBUG:processor.ControlUnit: Tick=45 | STAGE=WRITEBACK | OP=load | PC=8 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000}
DEBUG:processor.ControlUnit: Tick=46 | STAGE=FETCH | OP=store | PC=9 | R1=32 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000}
DEBUG:processor.ControlUnit: Tick=47 | STAGE=DECODE | OP=store | PC=9 | R1=32 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000}
DEBUG:processor.ControlUnit: Tick=48 | STAGE=EXECUTE | OP=store | PC=9 | R1=32 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000}
DEBUG:processor.ControlUnit: Tick=49 | STAGE=MEMORY | OP=store | PC=9 | R1=32 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000}
DEBUG:processor.ControlUnit: Tick=50 | STAGE=WRITEBACK | OP=store | PC=9 | R1=32 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32}
DEBUG:processor.ControlUnit: Tick=51 | STAGE=FETCH | OP=load | PC=10 | R1=32 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32}
DEBUG:processor.ControlUnit: Tick=52 | STAGE=DECODE | OP=load | PC=10 | R1=32 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32}
DEBUG:processor.ControlUnit: Tick=53 | STAGE=EXECUTE | OP=load | PC=10 | R1=32 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32}
DEBUG:processor.ControlUnit: Tick=54 | STAGE=MEMORY | OP=load | PC=10 | R1=32 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32}
DEBUG:processor.ControlUnit: Tick=55 | STAGE=WRITEBACK | OP=load | PC=10 | R1=32 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32}
DEBUG:processor.ControlUnit: Tick=56 | STAGE=FETCH | OP=store | PC=11 | R1=0 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32}
DEBUG:processor.ControlUnit: Tick=57 | STAGE=DECODE | OP=store | PC=11 | R1=0 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32}
DEBUG:processor.ControlUnit: Tick=58 | STAGE=EXECUTE | OP=store | PC=11 | R1=0 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32}
DEBUG:processor.ControlUnit: Tick=59 | STAGE=MEMORY | OP=store | PC=11 | R1=0 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32}
DEBUG:processor.ControlUnit: Tick=60 | STAGE=WRITEBACK | OP=store | PC=11 | R1=0 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=61 | STAGE=FETCH | OP=input | PC=12 | R1=0 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=62 | STAGE=DECODE | OP=input | PC=12 | R1=0 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=63 | STAGE=EXECUTE | OP=input | PC=12 | R1=0 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=64 | STAGE=MEMORY | OP=input | PC=12 | R1=0 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=65 | STAGE=WRITEBACK | OP=input | PC=12 | R1=0 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=66 | STAGE=FETCH | OP=store | PC=13 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=67 | STAGE=DECODE | OP=store | PC=13 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=68 | STAGE=EXECUTE | OP=store | PC=13 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=69 | STAGE=MEMORY | OP=store | PC=13 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=70 | STAGE=WRITEBACK | OP=store | PC=13 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=71 | STAGE=FETCH | OP=jmp | PC=14 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=72 | STAGE=DECODE | OP=jmp | PC=14 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=73 | STAGE=EXECUTE | OP=jmp | PC=14 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=74 | STAGE=FETCH | OP=load | PC=15 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=75 | STAGE=DECODE | OP=load | PC=15 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=76 | STAGE=EXECUTE | OP=load | PC=15 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=77 | STAGE=MEMORY | OP=load | PC=15 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=78 | STAGE=WRITEBACK | OP=load | PC=15 | R1=4000000 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=79 | STAGE=FETCH | OP=load_from | PC=16 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=80 | STAGE=DECODE | OP=load_from | PC=16 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=81 | STAGE=EXECUTE | OP=load_from | PC=16 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=82 | STAGE=MEMORY | OP=load_from | PC=16 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=83 | STAGE=WRITEBACK | OP=load_from | PC=16 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=84 | STAGE=FETCH | OP=load | PC=17 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=85 | STAGE=DECODE | OP=load | PC=17 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=86 | STAGE=EXECUTE | OP=load | PC=17 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=87 | STAGE=MEMORY | OP=load | PC=17 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=88 | STAGE=WRITEBACK | OP=load | PC=17 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=89 | STAGE=FETCH | OP=load_from | PC=18 | R1=1 | R2=3 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=90 | STAGE=DECODE | OP=load_from | PC=18 | R1=1 | R2=3 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=91 | STAGE=EXECUTE | OP=load_from | PC=18 | R1=1 | R2=3 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=92 | STAGE=MEMORY | OP=load_from | PC=18 | R1=1 | R2=3 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=93 | STAGE=WRITEBACK | OP=load_from | PC=18 | R1=1 | R2=3 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=94 | STAGE=FETCH | OP=sub | PC=19 | R1=1 | R2=4000000 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=95 | STAGE=DECODE | OP=sub | PC=19 | R1=1 | R2=4000000 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=96 | STAGE=EXECUTE | OP=sub | PC=19 | R1=1 | R2=4000000 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=97 | STAGE=MEMORY | OP=sub | PC=19 | R1=1 | R2=4000000 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=98 | STAGE=WRITEBACK | OP=sub | PC=19 | R1=1 | R2=4000000 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=99 | STAGE=FETCH | OP=jn | PC=20 | R1=1 | R2=3999999 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=100 | STAGE=DECODE | OP=jn | PC=20 | R1=1 | R2=3999999 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=101 | STAGE=EXECUTE | OP=jn | PC=20 | R1=1 | R2=3999999 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=102 | STAGE=MEMORY | OP=load | PC=21 | R1=1 | R2=3999999 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=103 | STAGE=WRITEBACK | OP=load | PC=21 | R1=1 | R2=3999999 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=104 | STAGE=FETCH | OP=load | PC=21 | R1=1 | R2=3999999 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=105 | STAGE=DECODE | OP=load | PC=21 | R1=1 | R2=3999999 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=106 | STAGE=EXECUTE | OP=load | PC=21 | R1=1 | R2=3999999 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=107 | STAGE=MEMORY | OP=load | PC=21 | R1=1 | R2=3999999 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=108 | STAGE=WRITEBACK | OP=load | PC=21 | R1=1 | R2=3999999 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=109 | STAGE=FETCH | OP=mod | PC=22 | R1=1 | R2=2 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=110 | STAGE=DECODE | OP=mod | PC=22 | R1=1 | R2=2 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=111 | STAGE=EXECUTE | OP=mod | PC=22 | R1=1 | R2=2 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=112 | STAGE=MEMORY | OP=mod | PC=22 | R1=1 | R2=2 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=113 | STAGE=WRITEBACK | OP=mod | PC=22 | R1=1 | R2=2 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=114 | STAGE=FETCH | OP=load | PC=23 | R1=1 | R2=2 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=115 | STAGE=DECODE | OP=load | PC=23 | R1=1 | R2=2 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=116 | STAGE=EXECUTE | OP=load | PC=23 | R1=1 | R2=2 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=117 | STAGE=MEMORY | OP=load | PC=23 | R1=1 | R2=2 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=118 | STAGE=WRITEBACK | OP=load | PC=23 | R1=1 | R2=2 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=119 | STAGE=FETCH | OP=cmp | PC=24 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=120 | STAGE=DECODE | OP=cmp | PC=24 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=121 | STAGE=EXECUTE | OP=cmp | PC=24 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=122 | STAGE=MEMORY | OP=cmp | PC=24 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=123 | STAGE=WRITEBACK | OP=cmp | PC=24 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=124 | STAGE=FETCH | OP=je | PC=25 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=125 | STAGE=DECODE | OP=je | PC=25 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=126 | STAGE=EXECUTE | OP=je | PC=25 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=127 | STAGE=MEMORY | OP=jmp | PC=26 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=128 | STAGE=WRITEBACK | OP=jmp | PC=26 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=129 | STAGE=FETCH | OP=jmp | PC=26 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=130 | STAGE=DECODE | OP=jmp | PC=26 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=131 | STAGE=EXECUTE | OP=jmp | PC=26 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=132 | STAGE=FETCH | OP=load | PC=34 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=133 | STAGE=DECODE | OP=load | PC=34 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=134 | STAGE=EXECUTE | OP=load | PC=34 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=135 | STAGE=MEMORY | OP=load | PC=34 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=136 | STAGE=WRITEBACK | OP=load | PC=34 | R1=1 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=137 | STAGE=FETCH | OP=load_from | PC=35 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=138 | STAGE=DECODE | OP=load_from | PC=35 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=139 | STAGE=EXECUTE | OP=load_from | PC=35 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=140 | STAGE=MEMORY | OP=load_from | PC=35 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=141 | STAGE=WRITEBACK | OP=load_from | PC=35 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=142 | STAGE=FETCH | OP=load | PC=36 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=143 | STAGE=DECODE | OP=load | PC=36 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
DEBUG:processor.ControlUnit: Tick=144 | STAGE=EXECUTE | OP=load | PC=36 | R1=2 | R2=0 | R3=0 |  data={0: 0, 1: 1, 2: 2, 3: 4000000, 4: 32, 5: 0}
